Class,level2,Categories,Number,Words
CLASS        I,SECTION        V,CLASS        ISECTION        V,93. Triplication ,"triplication, triplicity, trebleness, trine, treble, triple, triplicate, cube, treble, triple, tern, ternary, triplicate, threefold, trilogistic, third, trinal, trine, three, times, three, fold, thrice, third, place, thirdly, trebly"
CLASS        I,SECTION        V,CLASS        ISECTION        V,94. Trisection ,"trisection, tripartition, trichotomy, third, third, part, trisect, divide, three, parts, trifid, trisected, tripartite, trichotomous, trisulcate, triadelphous, triangular, tricuspid, tricapsular, tridental, tridentate, tridentiferous, trifoliate, trifurcate, trigonal, trigrammic, trigrammatic, tripetalous, tripodal, tripodic, triquetral, triquetrous"
CLASS        I,SECTION        V,CLASS        ISECTION        V,95. Four ,"quaternity, four, tetrad, quartet, quaternion, square, quarter, planar, form, four, sides, tetract, tetragon, quadrangle, rectangle, three, dimensional, object, four, surfaces, tetrahedron, quadrature, quadrifoil, quadriform, quadruplet, quatrefoil, object, animal, four, legs, tetrapod, geographical, area, four, sides, quadrangle, quad, coll, electromagnetic, object, quadrupole, four, fundamental, studies, quadrivium, reduce, square, square, four, quaternary, quaternal, quadratic, quartile, tetract, tetractic, tetractinal, tetrad, tetragonal, square, quadrate"
CLASS        I,SECTION        V,CLASS        ISECTION        V,96. Quadruplication ,"quadruplication, multiply, four, quadruplicate, biquadrate, fourfold, four, times, quadrable, quadrumanous, quadruple, quadruplicate, quadrible, fourth, quadrifoliate, quadrifoliolate, quadrigeminal, quadrigeminate, quadriplanar, quadriserial, four, times, fourth, place, fourthly"
CLASS        I,SECTION        V,CLASS        ISECTION        V,97. Quadrisection ,"quadrisection, quadripartition, quartering, fourth, quart, quarter, quartern, farthing, fourthing, quadrant, quarter, divide, four, parts, quartered, quadrifid, quadripartite, rectangular"
CLASS        I,SECTION        V,CLASS        ISECTION        V,98. Five  &c. ,"five, cinque, fr, quint, quincux, six, halfadozen, half, dozen, seven, eight, nine, three, times, three, dicker, ten, decade, eleven, twelve, dozen, thirteen, long, dozen, bakers, dozen, quintuplet, twenty, score, twentyfour, four, twenty, two, dozen, twentyfive, five, twenty, quarter, hundred, forty, two, score, fifty, half, hundred, sixty, three, score, seventy, three, score, ten, eighty, four, score, ninety, fourscore, ten, sestiad, hundred, centenary, hecatomb, century, hundredweight, cwt, one, hundred, fortyfour, gross, thousand, chiliad, millennium, thousand, years, grand, coll, myriad, ten, thousand, ban, jap, man, jap, ten, thousand, years, banzai, jap, lac, one, hundred, thousand, plum, million, thousand, million, milliard, billion, trillion, centuriate, quintuplicate, five, quinary, quintuple, fifth, senary, sextuple, sixth, seventh, septuple, octuple, eighth, ninefold, ninth, tenfold, decimal, denary, decuple, tenth, eleventh, duodenary, duodenal, twelfth, ones, teens, thirteenth, vicesimal, vigesimal, twentieth, twentyfourth, vicenary, vicennial, centuple, centuplicate, centennial, centenary, centurial, secular, hundredth, thousandth"
CLASS        I,SECTION        V,CLASS        ISECTION        V,99. Quinquesection  &c. ,"division, five, quinquesection, decimation, fifth, decimate, quinquesect, quinquefid, quinquelateral, quinquepartite, quinqevalent, pentavalent, quinquarticular, octifid, decimal, tenth, tithe, duodecimal, twelfth, sexagesimal, sexagenary, hundredth, centesimal, millesimal, indeterminate, number"
CLASS        I,SECTION        V,CLASS        ISECTION        V,100. Plurality ,"plurality, number, certain, number, one, two, two, three, several, multitude, majority, large, number, multitude, plural, one, upwards, several, certain, alone, et, cetera, etc, among, things, inter, alia, deficit, alter"
CLASS        I,SECTION        V,CLASS        ISECTION        V,100a. Fraction ,"fraction, fractional, part, part, fractional, fragmentary, inconsiderable, negligible, infinitesimal"
CLASS        I,SECTION        V,CLASS        ISECTION        V,101. Zero ,"zero, nothing, null, nul, naught, nought, void, cipher, goose, egg, none, nobody, one, nichts, nixie, slang, nix, slang, zilch, slang, zip, slang, zippo, slang, soul, ame, qui, vive, fr, absence, unsubstantiality, one, one, nary, one, dial, never, whit, iota, drop, speck, jot, trace, hint, smidgen, suspicion, shadow, neither, hide, hair"
CLASS        I,SECTION        V,CLASS        ISECTION        V,102. Multitude ,"multitude, numerous, numerosity, numerality, multiplicity, profusion, plenty, legion, host, great, number, large, number, round, number, enormous, number, quantity, numbers, array, sight, army, sea, galaxy, scores, peck, bushel, shoal, swarm, draught, bevy, cloud, flock, herd, drove, flight, covey, hive, brood, litter, farrow, fry, nest, crowd, assemblage, lots, world, wife, increase, number, greater, number, majority, multiplication, multiple, numerous, swarm, teem, creep, crowd, swarm, come, thick, upon, outnumber, multiply, people, swarm, like, locusts, swarm, like, bees, many, several, sundry, divers, various, briarean, hundred, thousand, myriad, million, quadrillion, nonillion, thousand, one, ten, dozen, forty, fifty, half, dozen, half, hundred, many, full, many, ever, many, numerous, numerose, profuse, profusion, manifold, multiplied, multitudinous, multiple, multinominal, teeming, populous, peopled, crowded, thick, studded, galore, thick, coming, many, one, tell, world, end, end, cum, multis, aliis, thick, hops, thick, hail, plenty, blackberries, numerous, stars, firmament, numerous, sands, seashore, numerous, hairs, head, heaven, knows, endless, infinite, name, legion, acervatim, en, foule, fr, manyheaded, multitude, sidney, numerous, glittering, gems, morning, numerous, glittering, gems, morning, dew, young, vel, prece, vel, pretio"
CLASS        I,SECTION        V,CLASS        ISECTION        V,103. Fewness ,"fewness, paucity, small, number, small, quantity, rarity, infrequency, handful, maniple, minority, exiguity, diminution, number, reduction, weeding, elimination, sarculation, decimation, eradication, render, reduce, diminish, number, weed, eliminate, cull, thin, decimate, scant, scanty, thin, rare, scattered, thinly, scattered, spotty, far, exiguous, infrequent, rari, nantes, hardly, scarcely, counted, ones, fingers, reduced, unrepeated, rarely"
CLASS        I,SECTION        V,CLASS        ISECTION        V,104. Repetition ,"repetition, iteration, reiteration, harping, recurrence, succession, run, battology, tautology, monotony, tautophony, rhythm, diffuseness, pleonasm, redundancy, chimes, repetend, echo, ritornello, burden, song, refrain, rehearsal, rechauffe, fr, rifacimento, recapitulation, cuckoo, imitation, reverberation, drumming, roll, renewal, restoration, twicetold, tale, old, story, old, song, second, edition, new, edition, reappearance, reproduction, recursion, comp, periodicity, repeat, iterate, reiterate, reproduce, echo, reecho, drum, harp, upon, battologize, hammer, redouble, recur, revert, return, reappear, recurse, comp, renew, restore, rehearse, say, ring, changes, harp, string, din, ear, drum, ear, conjugate, moods, tenses, conjugate, moods, tenses, inflexions, begin, go, ground, go, round, never, hear, last, resume, return, recapitulate, reword, repeated, repetitional, repetitionary, recurrent, recurring, ever, recurring, thick, coming, frequent, incessant, redundant, pleonastic, monotonous, harping, iterative, recursive, comp, unvaried, mocking, chiming, retold, aforesaid, aforenamed, abovementioned, abovesaid, habitual, another, repeatedly, often, anew, afresh, dingdong, ditto, encore, de, novo, bis, da, capo, recursively, comp, many, times, time, time, time, year, year, day, day, many, times, several, times, number, times, many, time, full, many, time, frequently, ecce, iterum, crispinus, toujours, perdrix, fr, cut, come, crabbe, tomorrow, tomorrow, tomorrow, macbeth, cantilenam, eandem, canis, terence, nullum, est, jam, dictum, quod, dictum, sit, nullum, est, jam, dictum, quod, dictum, sit, prius, terence"
CLASS        I,SECTION        V,CLASS        ISECTION        V,105. Infinity ,"infinity, infinitude, infiniteness, perpetuity, boundlessness, infinite, know, limits, limits, know, bounds, bounds, go, ever, infinite, immense, numberless, countless, sumless, measureless, innumerable, immeasurable, incalculable, illimitable, inexhaustible, interminable, unfathomable, unapproachable, exhaustless, indefinite, without, number, without, measure, without, limit, without, end, incomprehensible, limitless, endless, boundless, termless, untold, unnumbered, unmeasured, unbounded, unlimited, illimited, perpetual, infinitely, ad, infinitum, boundless, sea, romeo, juliet, section, vi, time, absolute, time"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,106. Time ,"time, duration, period, term, stage, space, span, spell, season, whole, time, whole, period, spacetime, course, snap, intermediate, time, interim, interval, pendency, intervention, intermission, intermittence, interregnum, interlude, respite, era, epoch, time, life, age, year, date, decade, period, moment, instant, glass, time, sands, time, march, time, father, time, ravages, time, arrow, time, river, time, whirligig, time, noiseless, foot, time, scythe, continue, last, endure, go, remain, persist, intervene, elapse, hold, take, time, take, time, fill, time, occupy, time, pass, time, pass, away, time, spend, time, away, time, consume, time, talk, time, tide, use, time, employ, time, seize, opportunity, waste, time, inactive, continuing, foot, permanent, durable, whilst, pending, time, interval, course, point, point, time, time, day, day, time, meantime, meanwhile, meantime, interim, ad, interim, pendente, lite, de, die, diem, day, day, hour, hour, hourly, always, time, season, till, yet, far, time, far, hereunto, heretofore, prior, point, whole, time, time, along, throughout, completely, good, diuturnity, hereupon, thereupon, whereupon, anno, domini, ad, ante, christum, ac, christ, bc, anno, urbis, conditae, auc, anno, regni, ar, upon, time, one, fine, morning, one, fine, day, one, day, time, flies, tempus, fugit, time, runs, time, runs, race, time, racing, clock, time, marches, time, essence, time, tide, wait, man, ad, calendas, groecas, panting, time, toileth, vain, johnson, gainst, tooth, time, razure, gainst, tooth, time, razure, oblivion, contr, measure, measure, rich, spoils, time, gray, tempus, edax, rerum, horace, long, hours, come, go, cg, rossetti, time, joint, hamlet, time, rolls, ceaseless, course, scott, time, foe, mans, dominion, peacock, time, wasted, existence, used, life, young, truditur, dies, die, horace, volat, hora, per, orbem, lucretius, carpe, diem"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,107. Neverness ,"neverness, absence, time, time, dies, tibs, eve, greek, kalends, blue, moon, never, neer, contr, time, period, second, tuesday, week, hell, freezes, occasion, never, ones, born, days, nevermore, sine, die, degree"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,108. Period ,"period, age, era, second, minute, hour, day, week, month, quarter, year, decade, decenniumm, lustrum, quinquennium, lifetime, generation, epoch, ghurry, lunation, moon, century, millennium, annus, magnus, horary, hourly, annual, periodical"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,108a.,"contingent, duration, pleasure, good, behavior, quamdiu, se, bene, gesserit"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,109. Course ,"corridors, time, sweep, time, vesta, time, course, time, progress, time, process, time, succession, time, lapse, time, flow, time, flux, time, stream, time, tract, time, current, time, tide, time, march, time, step, time, flight, time, duration, indefinite, time, aorist, elapse, lapse, flow, run, proceed, advance, pass, roll, wear, press, flit, fly, slip, slide, glide, run, course, run, expire, go, pass, past, elapsing, aoristic, progressive, due, time, due, season, due, course, due, process, fullness, time, time, labitur, et, labetur, horace, truditur, dies, die, horace, fugaces, labuntur, anni, horace, tomorrow, tomorrow, tomorrow, creeps, tomorrow, tomorrow, tomorrow, creeps, petty, pace, day, day, macbeth"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,110. Diuturnity ,"diuturnity, long, time, length, time, age, century, eternity, slowness, perpetuity, blue, moon, coons, age, us, dogs, age, durableness, durability, persistence, endlessness, lastingness, continuance, standing, permanence, stability, survival, survivance, longevity, age, distance, time, protraction, time, prolongation, time, extension, time, delay, lateness, last, endure, stand, remain, abide, continue, brave, thousand, years, tarry, late, drag, drag, slow, length, along, drag, lengthening, chain, protract, prolong, spin, eke, draw, lengthen, temporize, gain, time, make, time, talk, time, outlast, outlive, survive, live, fight, durable, lasting, long, duration, longstanding, permanent, endless, chronic, longstanding, intransient, intransitive, intransmutable, persistent, lifelong, livelong, longeval, longlived, macrobiotic, diuturnal, evergreen, perennial, sempervirent, sempervirid, unrelenting, unintermitting, unremitting, perpetual, lingering, protracted, prolonged, spun, longpending, longwinded, slow, long, long, time, age, ages, ever, long, many, long, day, long, ago, past, time, longo, intervallo, day, long, year, round, livelong, day, day, long, morning, noon, night, hour, hour, day, day, good, permanently"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,111. Transientness ,"transience, transientness, evanescence, impermanence, fugacity, chem, caducity, mortality, span, nine, days, wonder, bubble, mayfly, spurt, flash, pan, temporary, arrangement, interregnum, velocity, suddenness, changeableness, transient, transient, boarder, transient, guest, us, transient, flit, pass, away, fly, gallop, vanish, fade, evaporate, pass, away, like, cloud, pass, away, like, summer, cloud, pass, away, like, shadow, pass, away, like, dream, transient, transitory, transitive, passing, evanescent, fleeting, cursory, shortlived, ephemeral, flying, fugacious, fugitive, shifting, slippery, spasmodic, instantaneous, momentaneous, temporal, temporary, provisional, provisory, deciduous, perishable, mortal, precarious, unstable, insecure, impermanent, brief, quick, brisk, extemporaneous, summary, pressed, time, haste, sudden, momentary, instantaneous, temporarily, pro, tempore, moment, time, awhile, en, passant, fr, transitu, short, time, soon, early, briefly, short, notice, point, eve, articulo, cup, lip, ones, days, numbered, time, today, gone, tomorrow, semper, erit, aestas, eheu, fugaces, labuntur, anni, sic, transit, gloria, mundi, schoolboys, tale, wonder, hour, byron, dum, loquimur, fugerit, invidia, aetas, fugit, hora, transitory, illusion, goethe"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,112. Perpetuity ,"perpetuity, eternity, everness, aye, sempiternity, immortality, athanasia, interminability, agelessness, everlastingness, perpetuation, continued, existence, uninterrupted, existence, perennity, permanence, durability, last, forever, endure, forever, go, forever, end, eternize, perpetuate, perpetual, eternal, everduring, everlasting, everliving, everflowing, continual, sempiternal, coeternal, endless, unending, ceaseless, incessant, uninterrupted, indesinent, unceasing, endless, unending, interminable, end, unfading, evergreen, amaranthine, neverending, neverdying, neverfading, deathless, immortal, undying, imperishable, perpetually, always, ever, evermore, aye, ever, aye, till, end, universe, forevermore, forever, day, ever, ever, ages, age, age, without, end, world, without, end, time, without, end, secula, seculorum, end, time, crack, doom, last, syllable, recorded, time, macbeth, till, doomsday, constantly, frequently, esto, perpetuum, labitur, et, labetur, omne, volubilis, oevum, horace, thou, shall, flourish, immortal, youth, addison, eternity, thou, pleasing, dreadful, thought, addison, immortal, part, angels, lives, romeo, juliet, ohne, rast, goethes, motto, ora, sempre"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,113. Instantaneity ,"instantaneity, instantaneousness, immediacy, suddenness, abruptness, moment, instant, second, minute, twinkling, trice, flash, breath, crack, jiffy, coup, burst, flash, lightning, stroke, time, epoch, time, time, day, time, night, hour, minute, minute, time, hour, present, time, right, time, true, time, exact, correct, time, instantaneous, twinkle, flash, instantaneous, momentary, sudden, immediate, instant, abrupt, discontinuous, precipitous, precipitant, precipitate, subitaneous, hasty, quick, thought, quick, lightning, quick, flash, rapid, electricity, speedy, quick, fast, fleet, swift, lively, blitz, rapid, velocity, instantaneously, time, less, time, presto, subito, instanter, suddenly, stroke, like, shot, moment, blink, eye, twinkling, eye, trice, ones, tracks, right, away, toute, lheure, fr, one, jump, breath, per, saltum, uno, saltu, plump, slap, one, fell, swoop, instant, immediately, early, extempore, moment, spot, spur, moment, sooner, said, done, slapdash, haste, touch, go, sooner, said, done"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,114. Chronometry ,"chronometry, horometry, horology, date, epoch, style, era, almanac, calendar, ephemeris, register, registry, chronicle, annals, journal, diary, instruments, measurement, time, chronogram, clock, wall, clock, pendulum, clock, grandfathers, clock, cuckoo, clock, alarm, clock, clock, radio, watch, wristwatch, pocket, watch, stopwatch, swiss, watch, atomic, clock, digital, clock, analog, clock, quartz, watch, water, clock, chronometer, chronoscope, chronograph, repeater, timekeeper, timepiece, dial, sundial, gnomon, horologe, pendulum, hourglass, clepsydra, ghurry, chronographer, chronologer, chronologist, timekeeper, annalist, calendar, year, leap, year, julian, calendar, gregorian, calendar, chinese, calendar, jewish, calendar, perpetual, calendar, farmers, almanac, fiscal, year, fix, time, mark, time, date, register, chronicle, measure, time, beat, time, mark, time, bear, date, synchronize, watches, chronological, chronometrical, chronogrammatical, cinquecento, fr, quattrocento, trecento, oclock"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,115. Anachronism ,"anachronism, metachronism, parachronism, prochronism, prolepsis, misdate, anticipation, antichronism, disregard, time, neglect, time, oblivion, time, intempestivity, misdate, antedate, postdate, backdate, overdate, anticipate, take, note, time, lose, track, time, anachronize, misdated, undated, overdue, past, due, date, relative, time, time, reference, succession"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,116. Priority ,"priority, antecedence, anteriority, precedence, preexistence, precession, precursor, past, premises, precede, come, forerun, go, lead, preexist, dawn, presage, herald, usher, beforehand, early, steal, march, upon, anticipate, forestall, start, gain, start, prior, previous, preceding, precedent, anterior, antecedent, preexisting, preexistent, former, foregoing, aforementioned, beforementioned, abovementioned, aforesaid, said, introductory, precursory, prior, earlier, previously, afore, aforehand, beforehand, ere, theretofore, erewhile, ere, ere, erewhile, already, yet, beforehand, eve, prior, tempore, prior, jure"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,117. Posteriority ,"posteriority, succession, sequence, following, subsequence, supervention, futurity, successor, sequel, remainder, reversion, follow, come, go, succeed, supervene, ensue, occur, step, shoes, subsequent, posterior, following, later, succeeding, postliminious, postnate, postdiluvial, postdiluvian, puisne, posthumous, future, afterdinner, postprandial, subsequently, afterwards, since, later, subsequent, later, period, later, date, next, sequel, close, upon, thereafter, thereupon, upon, eftsoons, time, moment, time, process, time"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,118. The Present Time ,"present, present, time, present, day, present, moment, present, juncture, present, occasion, times, existing, time, time, today, days, nowadays, times, modern, times, twentieth, century, nonce, crisis, epoch, day, hour, age, time, life, present, actual, instant, current, existing, extant, presentday, uptodate, uptothemoment, time, moment, present, time, present, hand, time, day, today, nowadays, already, even, present, occasion, time, nonce, pro, hac, vice, nail, spot, spur, moment, day, present, day, present, hour, alone, mans, johnson"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,120. Synchronism ,"synchronism, coexistence, coincidence, simultaneousness, simultaneity, concurrence, concomitance, unity, time, interim, equal, times, isochronism, contemporary, coetanian, coexist, concur, accompany, go, hand, hand, keep, pace, synchronize, synchronous, synchronal, synchronic, synchronical, synchronistical, simultaneous, coexisting, coincident, concomitant, concurrent, coeval, coevous, contemporary, contemporaneous, coetaneous, coeternal, isochronous, time, simultaneously, together, concert, time, breath, pari, passu, interim, one, moment, soon, meanwhile"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,121. Futurity ,"futurity, futurition, future, hereafter, time, come, approaching, time, coming, time, subsequent, time, time, approaching, age, coming, age, subsequent, age, age, approaching, days, coming, days, subsequent, days, days, approaching, hours, coming, hours, subsequent, hours, hours, approaching, ages, coming, ages, subsequent, ages, ages, approaching, life, coming, life, subsequent, life, life, approaching, years, coming, years, subsequent, years, years, morrow, millennium, doomsday, day, judgment, crack, doom, remote, future, approach, time, advent, time, drawing, womb, time, destiny, eventuality, heritage, heirs, posterity, prospect, expectation, foresight, look, forwards, anticipate, expect, foresee, forestall, early, come, draw, draw, near, approach, await, threaten, impend, destined, future, come, coming, impending, next, near, close, hand, eventual, ulterior, prospect, expectation, prospectively, hereafter, future, kal, tomorrow, day, tomorrow, course, time, process, time, fullness, time, eventually, ultimately, sooner, later, proximo, paulo, post, futurum, time, one, days, time, time, henceforth, henceforwards, thence, thenceforth, thenceforward, whereupon, upon, soon, early, eve, point, brink, close, upon, quid, sit, futurum, cras, fuge, quaerere, horace"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,122. The Past ,"past, past, time, days, yore, times, yore, days, old, times, old, days, past, times, past, days, gone, times, gone, bygone, days, old, times, ancient, times, former, times, fore, time, good, old, days, olden, time, good, old, time, auld, lang, syne, eld, antiquity, antiqueness, status, quo, time, immemorial, distance, time, remote, age, remote, time, remote, past, rust, antiquity, study, past, paleontology, paleography, paleology, paleozoology, palaetiology, archaeology, paleogeography, paleoecology, paleobotany, paleoclimatoogy, archaism, antiquarianism, medievalism, preraphaelitism, paleography, retrospect, retrospection, looking, back, memory, laudator, temporis, acti, medievalist, preraphaelite, antiquary, antiquarian, archmologist, oldbuck, dryasdust, ancestry, paternity, past, expired, run, course, day, pass, pass, go, pass, away, go, away, pass, go, lapse, blow, look, back, trace, back, cast, eyes, back, exhume, past, gone, gone, passed, away, bygone, foregone, elapsed, lapsed, preterlapsed, expired, run, blown, hasbeen, extinct, antediluvian, antebellum, never, return, gone, wind, exploded, forgotten, irrecoverable, obsolete, old, former, pristine, quondam, cidevant, fr, late, ancestral, foregoing, last, latter, recent, night, preterperfect, preterpluperfect, looking, back, retrospective, retroactive, archaeological, paleo, archaeo, formerly, old, yore, erst, whilom, erewhile, time, ago, olden, time, anciently, long, ago, long, since, long, long, time, ago, years, ago, yesteryear, ages, ago, time, ago, time, since, time, back, yesterday, day, yesterday, last, year, ultimo, lately, newly, retrospectively, ere, till, hitherto, heretofore, longer, upon, time, time, immemorial, prehistoric, times, memory, man, time, mind, already, yet, time, ex, post, facto, time, time, time, hath, cant, go, home, fuimus, troes, vergil, fruit, ilium, vergil, hoc, erat, majorum, call, back, yesterday, bid, time, return, richard, ii, tempi, passati, eternal, landscape, past, tennyson, ultimus, romanorum, whats, past, prologue, tempest, whose, yesterdays, look, backward, smile, young, time, reference, particular, period"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,123. Newness ,"newness, novelty, recency, immaturity, youth, gloss, novelty, innovation, renovation, restoration, modernism, mushroom, parvenu, latest, fashion, renew, restore, modernize, new, novel, recent, fresh, green, young, evergreen, raw, immature, unsettled, yeasty, virgin, untried, unhandseled, untrodden, untrod, unbeaten, firenew, spannew, late, modern, neoteric, hypermodern, nouveau, newborn, nascent, neonatal, med, newfashioned, newfangled, newfledged, yesterday, brandnew, date, minute, fashionable, fashion, hip, coll, vernal, renovated, sempervirent, sempervirid, fresh, rose, fresh, daisy, fresh, paint, spick, span, newly, afresh, anew, lately, yesterday, day, latterly, late, long, ago, short, time, ago, di, novello, tutto, par, bello, nullum, est, jam, dictum, quod, dictum, est, nullum, est, jam, dictum, quod, dictum, est, prius, una, scopa, nuova, spazza, bene"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,124. Oldness ,"oldness, age, antiquity, cobwebs, antiquity, maturity, decline, decay, senility, seniority, eldership, primogeniture, archaism, past, thing, past, relic, past, megatherium, sanskrit, tradition, prescription, custom, immemorial, usage, common, law, old, day, seen, day, become, old, age, fade, senesce, old, ancient, antique, long, standing, timehonored, venerable, elder, eldest, firstborn, prime, primitive, primeval, primigenous, paleolontological, paleontologic, paleoanthropological, paleoanthropic, paleolithic, primordial, primordinate, aboriginal, beginning, diluvian, antediluvian, protohistoric, prehistoric, antebellum, colonial, precolumbian, patriarchal, preadamite, paleocrystic, fossil, paleozoolical, paleozoic, preglacial, antemundane, archaic, classic, medieval, preraphaelite, ancestral, blackletter, immemorial, traditional, prescriptive, customary, whereof, memory, man, runneth, whereof, memory, man, runneth, contrary, inveterate, rooted, antiquated, times, rococo, old, school, afterage, obsolete, date, fashion, stale, oldfashioned, behind, age, oldworld, exploded, gone, gone, passe, run, senile, time, worn, crumbling, deteriorated, secondhand, old, hills, old, methuselah, old, adam, old, history, geological, eras, list, starting, given, number, years, bp, archeozoic, proterozoic, paleozoic, mesozoic, cenozoic, geological, periods, precambrian, cambrian, ordovician, silurian, devonian, mississippian, pennsylvanian, permian, triassic, jurassic, cretaceous, tertiary, paleogene, neocene, quaternary, geological, epochs, list, starting, years, bp, paleocene, eocene, oligocene, miocene, pliocene, pleistocene, recent, since, world, made, since, year, one, since, days, methuselah, vetera, extollimus, recentium, incuriosi, tacitus"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,125. Morning  [Noon.] ,"morning, morn, forenoon, prime, dawn, daybreak, dayspring, foreday, sunup, peep, day, break, day, aurora, first, blush, morning, first, flush, morning, prime, morning, twilight, crepuscule, sunrise, cockcrow, cockcrowing, small, hours, wee, hours, morning, spring, vernal, equinox, first, point, aries, noon, midday, noonday, noontide, meridian, prime, nooning, noontime, summer, midsummer, matin, matutinal, vernal, sunrise, sun, lark, morning, dawns, shut, evening, flowers, paradise, lost, entre, chien, et, loup, fr, flames, forehead, morning, sky, milton, breezy, call, incensebreathing, morn, gray"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,125. [Noon.] ,"morning, morn, forenoon, prime, dawn, daybreak, dayspring, foreday, sunup, peep, day, break, day, aurora, first, blush, morning, first, flush, morning, prime, morning, twilight, crepuscule, sunrise, cockcrow, cockcrowing, small, hours, wee, hours, morning, spring, vernal, equinox, first, point, aries, noon, midday, noonday, noontide, meridian, prime, nooning, noontime, summer, midsummer, matin, matutinal, vernal, sunrise, sun, lark, morning, dawns, shut, evening, flowers, paradise, lost, entre, chien, et, loup, fr, flames, forehead, morning, sky, milton, breezy, call, incensebreathing, morn, gray"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,126. Evening  [Midnight.] ,"evening, eve, decline, day, fall, day, close, day, candlelight, candlelighting, eventide, nightfall, curfew, dusk, twilight, eleventh, hour, sunset, sundown, going, sun, cockshut, dewy, eve, gloaming, bedtime, afternoon, postmeridian, pm, autumn, fall, fall, leaf, autumnal, equinox, indian, summer, st, lukes, summer, st, martins, summer, midnight, dead, night, witching, hour, witching, hour, night, witching, time, night, winter, killing, time, vespertine, autumnal, nocturnal, midnight, outpost, advancing, day, longfellow, sablevested, night, milton, gorgeous, arch, golden, worlds, inlayd, young"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,126. [Midnight.] ,"evening, eve, decline, day, fall, day, close, day, candlelight, candlelighting, eventide, nightfall, curfew, dusk, twilight, eleventh, hour, sunset, sundown, going, sun, cockshut, dewy, eve, gloaming, bedtime, afternoon, postmeridian, pm, autumn, fall, fall, leaf, autumnal, equinox, indian, summer, st, lukes, summer, st, martins, summer, midnight, dead, night, witching, hour, witching, hour, night, witching, time, night, winter, killing, time, vespertine, autumnal, nocturnal, midnight, outpost, advancing, day, longfellow, sablevested, night, milton, gorgeous, arch, golden, worlds, inlayd, young"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,127. Youth ,"youth, juvenility, juvenescence, juniority, infancy, babyhood, childhood, boyhood, girlhood, youthhood, incunabula, minority, nonage, teens, tender, age, bloom, cradle, nursery, leading, strings, pupilage, puberty, pucelage, prime, life, flower, life, springtide, life, seedtime, life, golden, season, life, heyday, youth, school, days, rising, generation, young, youthful, juvenile, green, callow, budding, sappy, puisne, beardless, age, ones, teens, statu, pupillari, younger, junior, hebetic, unfledged, youth, prow, pleasure, helm, gray, youth, glad, season, life, carlyle"
CLASS        I,SECTION        VI,CLASS        ISECTION        VI,128. Age ,"age, oldness, old, age, advanced, age, golden, years, senility, senescence, years, anility, gray, hairs, climacteric, grand, climacteric, declining, years, decrepitude, hoary, age, caducity, superannuation, second, childhood, second, childishness, dotage, vale, years, decline, life, sear, yellow, leaf, macbeth, threescore, years, ten, green, old, age, ripe, age, longevity, time, life, seniority, eldership, elders, veteran, firstling, doyen, father, primogeniture, science, old, age, geriatrics, nostology, aged, grow, old, get, old, age, decline, wane, dodder, senesce, aged, old, elderly, geriatric, senile, matronly, anile, years, ripe, mellow, run, seed, declining, waning, past, ones, prime, gray, grayheaded, hoar, hoary, venerable, timeworn, antiquated, passe, effete, decrepit, superannuated, advanced, life, advanced, years, stricken, years, wrinkled, marked, withthe, crows, foot, one, foot, grave, doting, imbecile, like, last, pea, time, older, elder, eldest, senior, firstborn, turned, years, old, certain, age, chicken, old, methuselah, ancestral, patriarchal, ancient, gerontic, give, staff, honor, age, titus, andronicus, bis, pueri, senes, peu, de, gens, savent, elre, vieux, fr, plenus, annis, abiit, plenus, honoribus, pliny, younger, old, age, creeping, apace, byron, slowconsuming, age, gray, hoary, head, crown, glory, proverbs, xvi, silver, livery, advised, age, ii, henry, vi, grow, old, gracefully, vanish, chinks, time, made, rogers"
