Class,level2,Categories,Number,Words
CLASS        I,SECTION        II,CLASS        ISECTION        II,11. Consanguinity ,"consanguinity, relationship, kindred, blood, parentage, paternity, filiation, affiliation, lineage, agnation, connection, alliance, family, connection, family, tie, ties, blood, nepotism, kinsman, kinfolk, kith, kin, relation, relative, connection, sibling, sib, next, kin, uncle, aunt, nephew, niece, cousin, cousingerman, first, cousin, second, cousin, cousin, removed, cousin, twice, removed, near, relation, distant, relation, brother, sister, ones, flesh, blood, family, fraternity, brotherhood, sisterhood, cousinhood, race, stock, generation, sept, stirps, side, strain, breed, clan, tribe, nation, related, claim, relationship, related, akin, consanguineous, blood, family, allied, collateral, cognate, agnate, connate, kindred, affiliated, fraternal, intimately, related, nearly, related, closely, related, remotely, related, distantly, related, allied, german"
CLASS        I,SECTION        II,CLASS        ISECTION        II,12. Correlation ,"reciprocalness, reciprocity, reciprocation, mutuality, correlation, interdependence, interrelation, connection, link, association, interchange, exchange, barter, reciprocator, reprocitist, reciprocate, alternate, interchange, exchange, counterchange, reciprocal, mutual, commutual, correlative, reciprocative, interrelated, closely, related, alternate, interchangeable, interdependent, international, complemental, complementary, mutually, mutatis, mutandis, vice, versa, one, another, turns, reciprocally, happy, mutual, help, milton"
CLASS        I,SECTION        II,CLASS        ISECTION        II,13. Identity ,"identity, sameness, coincidence, coalescence, convertibility, equality, selfness, self, oneself, identification, monotony, tautology, repetition, facsimile, copy, homoousia, alter, ego, similar, ipsissima, verba, exactness, self, one, thing, actual, thing, real, mccoy, one, flesh, identical, coincide, coalesce, merge, treat, render, identical, identify, recognize, identity, identical, self, ilk, selfsame, one, homoousian, coincide, coalescent, coalescing, indistinguishable, one, equivalent, equal, tweedle, dee, tweedle, dum, much, muchness, unaltered, identically, fours"
CLASS        I,SECTION        II,CLASS        ISECTION        II,14. [Noncoincidence.]  Contrariety ,"contrariety, contrast, foil, antithesis, oppositeness, contradiction, antagonism, opposition, clashing, repugnance, inversion, opposite, reverse, inverse, converse, antipodes, antithesis, extreme, contrary, contrast, oppose, diller, toto, coelo, invert, reverse, turn, tables, turn, topsyturvy, turn, end, end, turn, upside, turn, inside, contradict, contravene, antagonize, contrary, contrarious, contrariant, opposite, counter, dead, converse, reverse, opposed, antithetical, contrasted, antipodean, antagonistic, opposing, conflicting, inconsistent, contradictory, cross, purposes, negative, hostile, differing, toto, coelo, diametrically, opposite, diametrically, opposed, opposite, black, white, opposite, light, darkness, opposite, fire, water, opposite, poles, different, night, day, hyperion, satyr, hamlet, quite, contrary, quite, reverse, thing, way, tout, au, contraire, fr, contrarily, contra, contrariwise, per, contra, contrary, nay, rather, vice, versa, hand, compensation, concords, born, contraries, jonson, thesis, antithesis, synthesis, marx"
CLASS        I,SECTION        II,CLASS        ISECTION        II,14. Contrariety ,"contrariety, contrast, foil, antithesis, oppositeness, contradiction, antagonism, opposition, clashing, repugnance, inversion, opposite, reverse, inverse, converse, antipodes, antithesis, extreme, contrary, contrast, oppose, diller, toto, coelo, invert, reverse, turn, tables, turn, topsyturvy, turn, end, end, turn, upside, turn, inside, contradict, contravene, antagonize, contrary, contrarious, contrariant, opposite, counter, dead, converse, reverse, opposed, antithetical, contrasted, antipodean, antagonistic, opposing, conflicting, inconsistent, contradictory, cross, purposes, negative, hostile, differing, toto, coelo, diametrically, opposite, diametrically, opposed, opposite, black, white, opposite, light, darkness, opposite, fire, water, opposite, poles, different, night, day, hyperion, satyr, hamlet, quite, contrary, quite, reverse, thing, way, tout, au, contraire, fr, contrarily, contra, contrariwise, per, contra, contrary, nay, rather, vice, versa, hand, compensation, concords, born, contraries, jonson, thesis, antithesis, synthesis, marx"
CLASS        I,SECTION        II,CLASS        ISECTION        II,15. Difference ,"difference, variance, variation, variety, diversity, dissimilarity, disagreement, disparity, inequality, distinction, contradistinction, alteration, modification, permutation, moods, tenses, nice, distinction, fine, distinction, delicate, distinction, subtle, distinction, shade, difference, nuance, discrimination, differentia, different, thing, something, else, apple, another, tree, another, pair, shoes, horse, different, color, different, differ, vary, ablude, mismatch, contrast, divaricate, differ, toto, coelo, differ, longo, intervallo, vary, modify, change, discriminate, differing, different, diverse, heterogeneous, multifarious, polyglot, distinguishable, dissimilar, varied, modified, diversified, various, divers, manner, kinds, variform, daedal, another, unequal, unmatched, widely, apart, poles, apart, distinctive, characteristic, discriminative, distinguishing, incommensurable, incommensurate, differently, il, fagots, et, fagots, continuous, relation"
CLASS        I,SECTION        II,CLASS        ISECTION        II,16. Uniformity ,"uniformity, homogeneity, homogeneousness, consistency, connaturality, connaturalness, homology, accordance, conformity, agreement, consonance, uniformness, regularity, constancy, even, tenor, routine, monotony, uniform, accord, run, become, uniform, conform, render, uniform, homogenize, assimilate, level, smooth, dress, uniform, homogeneous, homologous, piece, fr, consistent, connatural, monotonous, even, invariable, regular, unchanged, undeviating, unvaried, unvarying, unsegmented, uniformly, uniformly, conformably, harmony, agreeing, always, invariably, without, exception, without, fail, unfailingly, never, otherwise, clockwork, ab, uno, disce, omnes"
CLASS        I,SECTION        II,CLASS        ISECTION        II,16a. Nonuniformity ,"diversity, irregularity, unevenness, multiformity, unconformity, roughness, dissimilarity, dissimilitude, divarication, divergence, diversified, varied, irregular, uneven, rough, multifarious, multiform, various, kinds, manner, sorts, kinds, variously, manner, ways, everywhere, partial, relation"
CLASS        I,SECTION        II,CLASS        ISECTION        II,17. Similarity ,"similarity, resemblance, likeness, similitude, semblance, affinity, approximation, parallelism, agreement, analogy, analogicalness, correspondence, homoiousia, parity, connaturalness, connaturality, brotherhood, family, likeness, alliteration, rhyme, pun, repetition, sameness, identity, uniformity, isogamy, analogue, like, match, pendant, fellow, companion, pair, mate, twin, double, counterpart, brother, sister, ones, second, self, alter, ego, chip, old, block, par, nobile, fratrum, arcades, ambo, birds, feather, et, hoc, genus, omne, gens, de, meme, famille, fr, parallel, simile, type, metaphor, image, representation, photograph, close, resemblance, striking, resemblance, speaking, resemblance, faithful, likeness, faithful, resemblance, similar, look, like, resemble, bear, resemblance, smack, savor, approximate, parallel, match, rhyme, take, imitate, favor, span, us, render, similar, assimilate, approximate, bring, near, connaturalize, make, alike, rhyme, pun, similar, resembling, like, alike, twin, analogous, analogical, parallel, piece, fr, homoiousian, connatural, congener, allied, akin, consanguineous, approximate, much, near, close, something, like, sort, ballpark, like, show, mock, pseudo, simulating, representing, exact, true, lifelike, faithful, true, nature, true, life, image, picture, world, like, comme, deux, gouttes, deau, fr, like, two, peas, pod, like, stare, instar, omnium, cast, mold, ridiculously, like, speak, quasi, veluti, speculum, et, sic, de, similibus, tel, maitre, tel, valet, fr, tel, pere, tel, fils, fr, like, master, like, servant, like, father, like, son, fruit, doesnt, fall, far, tree, chip, old, block"
CLASS        I,SECTION        II,CLASS        ISECTION        II,18. Dissimilarity ,"dissimilarity, dissimilaritude, unlikeness, diversity, disparity, dissemblance, divergence, variation, difference, novelty, originality, creativeness, oogamy, unlike, vary, differ, bear, resemblance, differ, toto, coelo, render, unlike, vary, diversify, dissimilar, unlike, disparate, divergent, different, kind, class, unmatched, unique, new, novel, unprecedented, original, nothing, kind, thing, quite, another, thing, far, cast, different, mold, tertium, quid, like, dock, daisy, like, whale, hamlet, different, chalk, cheese, different, macedon, monmouth, lucus, lucendo, diversified, otherwise, diis, aliter, visum, like, father, hercules, hamlet"
